,Time,Total_Electricity_[KW],Avg_Electricity_[KW]
106,2004-04-17,145033.9238122715,9064.620238266969
107,2004-04-18,145747.87809365924,9109.242380853702
108,2004-04-19,147834.97929218723,9239.686205761702
109,2004-04-20,150549.21456392924,9409.325910245578
110,2004-04-21,140128.5768156538,8758.036050978362
111,2004-04-22,102206.91526783006,6387.932204239379
112,2004-04-23,92631.44586407804,5789.465366504877
113,2004-04-24,145291.16809981497,9080.698006238435
114,2004-04-25,147231.29442418122,9201.955901511326
115,2004-04-26,154212.2403905202,9638.265024407512
116,2004-04-27,145841.3717287238,9115.085733045238
117,2004-04-28,139533.49092862857,8720.843183039286
118,2004-04-29,102489.88786013075,6405.617991258172
119,2004-04-30,94857.7182395967,5928.6073899747935
120,2004-05-01,163011.4627365447,10188.216421034043
121,2004-05-02,159041.86283021525,9940.116426888453
122,2004-05-03,145219.24280367,9076.202675229375
123,2004-05-04,148671.76816117804,9291.985510073628
124,2004-05-05,146119.12827359163,9132.445517099477
125,2004-05-06,101567.9756170355,6347.9984760647185
126,2004-05-07,93157.62276357485,5822.351422723428
127,2004-05-08,145008.99803940463,9063.06237746279
128,2004-05-09,145898.70465993995,9118.669041246247
129,2004-05-10,149875.0933485543,9367.193334284644
130,2004-05-11,159467.60599948405,9966.725374967753
131,2004-05-12,156262.46786501483,9766.404241563427
132,2004-05-13,106159.29566401361,6634.955979000851
133,2004-05-14,89326.44186389215,5582.902616493259
134,2004-05-15,159450.54435327373,9965.659022079608
135,2004-05-16,159540.92713240365,9971.307945775228
136,2004-05-17,157730.6382076441,9858.164887977757
137,2004-05-18,154226.13503464469,9639.133439665293
138,2004-05-19,149623.53004530023,9351.470627831264
139,2004-05-20,103271.7406398799,6454.483789992494
140,2004-05-21,90555.74331258392,5659.733957036495
141,2004-05-22,150153.5511406244,9384.596946289024
142,2004-05-23,151531.82533138103,9470.739083211314
143,2004-05-24,159256.12063812176,9953.50753988261
144,2004-05-25,162364.3445491417,10147.771534321357
145,2004-05-26,142351.72452251727,8896.98278265733
146,2004-05-27,103283.76822227046,6455.235513891904
147,2004-05-28,87683.80140394624,5480.23758774664
148,2004-05-29,92213.83264052338,5763.364540032711
149,2004-05-30,145968.85432131725,9123.053395082328
150,2004-05-31,151849.78344011566,9490.611465007229
151,2004-06-01,158280.87412842343,9892.554633026464
152,2004-06-02,163417.99726938398,10213.624829336499
153,2004-06-03,109769.34574393071,6860.584108995669
154,2004-06-04,97368.75447213909,6085.547154508693
155,2004-06-05,160830.39051259047,10051.899407036904
156,2004-06-06,158376.9855798783,9898.561598742393
157,2004-06-07,152641.09127472164,9540.068204670102
158,2004-06-08,155117.15775856256,9694.82235991016
159,2004-06-09,152069.59217460186,9504.349510912616
160,2004-06-10,104035.76213242736,6502.23513327671
161,2004-06-11,97700.83921687023,6106.302451054389
162,2004-06-12,149752.3835116845,9359.52396948028
163,2004-06-13,147586.19324020683,9224.137077512927
164,2004-06-14,149223.61790812004,9326.476119257502
165,2004-06-15,143623.69684466397,8976.481052791498
166,2004-06-16,137068.05252253573,8566.753282658483
167,2004-06-17,102184.87945812212,6386.554966132632
168,2004-06-18,96642.61272121257,6040.163295075786
169,2004-06-19,153489.9414093042,9593.121338081513
170,2004-06-20,143750.3576359092,8984.397352244325
171,2004-06-21,144774.78874981403,9048.424296863377
172,2004-06-22,152192.5317927528,9512.03323704705
173,2004-06-23,152483.5644889846,9530.222780561537
174,2004-06-24,102983.17194974364,6436.448246858978
175,2004-06-25,92641.81394310633,5790.113371444146
176,2004-06-26,146791.81183101394,9174.488239438371
177,2004-06-27,155250.88964640902,9703.180602900564
178,2004-06-28,158323.43471863025,9895.21466991439
179,2004-06-29,164551.4924640498,10284.468279003113
180,2004-06-30,163837.21571473364,10239.825982170853
181,2004-07-01,103621.38530470098,6476.336581543811
182,2004-07-02,95754.18811158088,5984.636756973805
183,2004-07-03,137017.09506475047,8563.568441546904
184,2004-07-04,94038.09878927363,5877.381174329602
185,2004-07-05,144875.68862131302,9054.730538832064
186,2004-07-06,148158.81941079732,9259.926213174833
187,2004-07-07,143678.8121561609,8979.925759760055
188,2004-07-08,105586.98071295481,6599.186294559676
189,2004-07-09,94434.60607606938,5902.162879754336
190,2004-07-10,150000.03132031212,9375.001957519507
191,2004-07-11,150694.6803461394,9418.417521633712
192,2004-07-12,151292.0439512205,9455.75274695128
193,2004-07-13,150161.14963538834,9385.071852211771
194,2004-07-14,149866.7107288063,9366.669420550394
195,2004-07-15,104326.27395000723,6520.392121875452
196,2004-07-16,94373.68313402742,5898.355195876714
197,2004-07-17,148461.7082548124,9278.856765925775
198,2004-07-18,140280.81568000175,8767.55098000011
199,2004-07-19,144267.82928886928,9016.73933055433
200,2004-07-20,146102.25038086518,9131.390648804074
201,2004-07-21,143071.1084200905,8941.944276255655
202,2004-07-22,106061.86496528196,6628.866560330122
203,2004-07-23,97273.43610069901,6079.589756293688
